Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
PROVENGO  LLC,142120273.0,"clothing,, special, purpose",4,10.01 K,10.01 K,0.0,"HSCEMD17F00239, HSCEMD17P00074, HSCEMD15F00170, HSCEMD15P00082",2016-12-02,2017-10-18,3091 LAWSON BLVD,,OCEANSIDE,NY,NEW YORK,115722939,04,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
OUT & EQUAL WORKPLACE ADVOCATES,114129591.0,"education, training, tuition, registration, membership",1,10.00 K,10.00 K,0.0,HSCEMS16P00073,2018-08-22,2016-10-07,155 SANSOME ST STE 450,,SAN FRANCISCO,CA,CALIFORNIA,941040000,,4156946521,4156946530,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TINFOIL SECURITY INC,927481239.0,"telecom, cyber, security, data, backup",1,10.00 K,10.00 K,0.0,HSCETE16P00069,2017-10-19,2017-11-03,2483 OLD MIDDLEFIELD WAY STE 207,,MOUNTAIN VIEW,CA,CALIFORNIA,940432330,18,6466449351,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CIJA US,80153011.0,"support, administrative:, translation, interpreting",1,10.00 K,10.00 K,0.0,70CMSD18P00000125,2018-08-13,2018-09-30,800 E CANAL ST,,RICHMOND,VA,VIRGINIA,232193956,04,8047671280,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
WC HOLDING  INC.,13567606.0,"information, technology, software",1,10.00 K,10.00 K,0.0,HSCEMD17F00222,2017-09-07,2017-10-25,"2800 EISENHOWER AVE., STE 300",,ALEXANDRIA,VA,VIRGINIA,223145209,08,5714812021,7037396028,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AMERICAN MANAGEMENT ASSOCIATION INTERNATIONAL,64930233.0,"education, training, lectures",1,9.99 K,9.99 K,0.0,70CMSW18P00000043,2018-09-25,2019-07-22,600 AMA WAY,,SARANAC LAKE,NY,NEW YORK,129835534,21,2129038351,2129038181,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TESTEQUITY LLC,623425563,"tactical, sets,, kits,, outfits",2,9.99 K,9.99 K,0.0,"70CMSW18P00000032, 70CMSW18P00000029",2018-05-04,2018-06-29,6100 CONDOR DR,,MOORPARK,CA,CALIFORNIA,930212608,26,8007323457,8053751323,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MCFALL CONSULTING INC.,78885776.0,"athletic, sporting, equipment",1,9.96 K,9.96 K,0.0,70CDCR18FR0000119,2018-08-15,2018-09-30,123 S LOUDOUN ST,,WINCHESTER,VA,VIRGINIA,226014721,10,7178051449,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ELECTRONIC DATA CARRIERS  INC.,87716924.0,"relocation, transportation, travel, transportation:, air",2,9.91 K,9.91 K,0.0,"70CDCR18FR0000101, HSCEDM16F00013",2016-03-01,2018-09-30,2228 WIRTCREST LN STE G,,HOUSTON,TX,TEXAS,770551306,02,5128321995,5128324370,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TAYLOR HOLDINGS  LLC,73407728.0,"fencing,, fences,, gates, components",1,9.90 K,9.90 K,0.0,HSCEMD16P00126,2016-09-19,2016-12-19,1410 DUSTRY DR,,COLORADO SPRINGS,CO,COLORADO,809052840,05,7195761626,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"RB & SON GENERAL CONTRACTORS, INC.",809087948.0,"equipment, air, maint, repair, rebuild",1,9.90 K,155.22 K,145317.0,70CMSD18P00000203,2018-09-25,2023-08-29,11442 122ND ST,,SOUTH OZONE PARK,NY,NEW YORK,114202023,05,3478693752,3475589670,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BENNET COMMUNICATIONS  INC.,956259105.0,"telephone, telegraph, equipment, telecom, programming",7,9.87 K,9.87 K,0.0,"HSCEMS17P00040, HSCETC10P00074, HSCETC10P00041, HSCETC10P00050, HSCETC10P00039, HSCETC10P00025, HSCETC09P00009",2013-07-25,2017-06-21,12900 CLOVERLEAF CENTER DR STE B,,GERMANTOWN,MD,MARYLAND,208749164,06,2402381244,3012160189,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FIRE SAFETY SYSTEMS INC.,108608555.0,"equipment, maint, repair, rebuild, medical,",1,9.81 K,9.81 K,0.0,70CDCR18P00000071,2018-03-22,2018-06-21,525 AERO DR STE 1,,BUFFALO,NY,NEW YORK,142251443,26,7168949700,7168944354,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
5.11  INC.,794292297.0,"safety, rescue, equipment, bags, sacks",2,9.80 K,9.80 K,0.0,"70CMSW18P00000059, HSCEMS17P00090",2017-08-25,2019-03-06,1360 REYNOLDS AVE SUITE 101,,IRVINE,CA,CALIFORNIA,926145535,45,5625379673,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
JOSEF YAKIR INVESTMENTS & ASSETS LTD,533518072.0,"motor, vehicle, maintenance, repair, shop",1,9.66 K,9.66 K,0.0,70CMSD18P00000105,2018-06-28,2018-09-30,4820 SETON DR STE F,,BALTIMORE,MD,MARYLAND,212153245,07,4103581717,4103587707,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SIRINA FIRE PROTECTION CORP.,624851515.0,"equipment, maint, repair, rebuild, fire",2,9.60 K,24.72 K,15120.0,"HSCEMD17P00072, HSCEMD14P00134",2016-04-11,2022-09-22,151 HERRICKS RD STE 2,,NEW HYDE PARK,NY,NEW YORK,110405200,04,2129296800,2129296888,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MONTGOMERY  COUNTY OF,42260711.0,"education, training",1,9.60 K,48.00 K,38400.0,70CMSD18P00000156,2018-08-30,2023-09-18,1175 CONSHHCKN RD,,CONSHOHOCKEN,PA,PENNSYLVANIA,194281028,13,6106316543,6106316536,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ONLINE CONSULTING  INC.,125047027.0,"education, training, lectures",1,9.60 K,9.60 K,0.0,HSCEMS16P00064,2018-05-08,2016-09-21,505 CARR RD STE 101,,WILMINGTON,DE,DELAWARE,198092800,00,3022254470,3022254477,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FOSTER PRODUCTS  INC.,780519752.0,"punched, card, equipment",1,9.54 K,9.54 K,0.0,HSCETE16P00048,2016-08-18,2016-09-20,4283 ARMSTRONG BLVD,,BATAVIA,OH,OHIO,451031697,02,5134701125,5137521482,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MONTROSE AIR QUALITY SERVICES  LLC,79627382.0,"generators, generator, sets,, electrical",1,9.53 K,9.53 K,0.0,70CMSW18P00000004,2017-12-15,2018-01-31,1 PARK PLAZA STE 1000,,IRVINE,CA,CALIFORNIA,926148507,45,7049330244,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SIS GLOBAL SOLUTIONS  LLC,967796173,"headsets,, handsets,, microphones, speakers",2,9.50 K,9.50 K,0.0,"HSCEMS16P00047, HSCEMD16P00019",2016-02-18,2016-09-22,9620 SHADOW OAK DR,,GAITHERSBURG,MD,MARYLAND,208860000,,2403832439,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
UNIVERSAL MUSIC-MGB NA LLC,605437870.0,"telecom, web, based, subscription",1,9.43 K,16.23 K,6805.0,HSCEMS16P00019,2018-07-06,2021-05-14,2110 COLORADO AVE STE 110,,SANTA MONICA,CA,CALIFORNIA,904043753,33,8004545537,3108654472,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SYMBOLARTS  LLC,612487025.0,"tableware, office, supplies",2,9.39 K,9.39 K,0.0,"70CDCR18P00000197, HSCEMR11P00047",2012-03-29,2018-11-24,6083 S 1550 E,,OGDEN,UT,UTAH,844055006,01,8014756000,8014755500,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURITY ENGINEERED MACHINERY CO  INC,005957329,"office, machines, miscellaneous, equipment, devices",6,9.38 K,9.38 K,0.0,"70CMSW18FR0000027, HSCECR16F00003, HSCEMR15F00027, HSCEMR13F00026, HSCEMD10F00188, HSCEMD09F00094",2011-09-27,2019-02-15,5 WALKUP DRIVE,PO BOX 1045,WESTBORO,MA,MASSACHUSETTS,015816045,02,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AMNOR MARINE CONSTRUCTION  INC.,184769144.0,"ammunition,, mm, 30, 30mm, 75mm",13,9.34 K,9.34 K,0.0,"HSCEMS12J00037, HSCEMS11J00010, HSCEMS11J00075, HSCEMS11J00067, HSCEMD10J00120, HSCEMD10J00050, HSCEMD09J00040, HSCEMD09J00208, HSCEMD09J00204, HSCEMD09J00201, HSCEMD09J00141, HSCEMD09J00151, HSCEMD09J00117",2011-04-13,2012-07-23,1810 WILSON LN STE 102,,MC LEAN,VA,VIRGINIA,221021810,08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL STATES WIRE PRODUCTS  INC.,88692843.0,"packaging, packing, bulk, materials",1,9.32 K,9.32 K,0.0,70CMSD18FR0000023,2018-06-07,2018-06-07,871 EDGERTON ST,,SAINT PAUL,MN,MINNESOTA,551304119,04,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COMMUNICATIONS-APPLIED TECHNOLOGY COMPANY,81040214.0,"miscellaneous, communication, equipment",1,9.31 K,9.31 K,0.0,HSCEMD16F00109,2016-08-30,2016-09-30,11250 ROGER BACON DR STE 14,,RESTON,VA,VIRGINIA,201905202,11,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
B & H FOTO & ELECTRONICS CORP.,116012659,"equipment, cameras,, picture, photographic, accessories",24,9.27 K,9.27 K,0.0,"70CMSD18P00000107, HSCETE17P00074, HSCETE17P00067, HSCETE17P00014, HSCENV08F00172, HSCEMD08F00154, HSCENV08F00112, HSCEMD10F00011, HSCEMD11F00075, HSCETE11F00176, HSCEMD09F00102, HSCEMD11P00237, HSCEMD11F00122, HSCEMD11F00107, HSCEMD08F00229, HSCEMD10F00252, HSCEMD10F00210, HSCEMD10F00130, HSCEMD09F00208, HSCENV08P00259, HSCEMD08F00076, HSCENV08F00054, HSCEDM08F00016, HSCEOP07F01228",2010-03-24,2018-10-11,420 9TH AVE,,NEW YORK,NY,NEW YORK,100011614,10,2122397500,2122397509,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ATLANTIC PETROLEUM & MINERAL RESOURCES  INC,6772929.0,"fuel, oils",2,9.24 K,9.24 K,0.0,"HSCEDM17P00096, HSCEDM16P00094",2017-09-27,2017-11-30,723 MAIN ST STE 207,,HOUSTON,TX,TEXAS,770023332,18,8326568667,7132235797,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GPS INTELLIGENCE LLC,153956417,"miscellaneous, alarm,, signal,, security, detection",2,9.24 K,9.24 K,0.0,"70CMSD18P00000039, HSCEMD17F00264",2017-09-25,2018-11-19,15600 N. 78TH ST.,,SCOTTSDALE,AZ,ARIZONA,852601735,06,4806611916,4804515421,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALON INC,143682164.0,"support, program, management, professional:, services",27,9.16 K,9.16 K,0.0,"HSCEMS10F00036, HSCEMS10F00032, HSCEMS12F00083, HSCEMS12F00096, HSCEMS10F00020, HSCEMS11F00010, HSCEMS13F00005, HSCEMS09F00033, HSCEMS09F00020, HSCEMS09F00017, HSCEMS09F00026, HSCEMS09F00034, HSCEMS09F00041, HSCEMS09F00025, HSCEMS09F00039, HSCEMS09F00021, HSCEMS09F00022, HSCEMS10F00012, HSCEMS09C00003, HSCEMS10F00008, HSCEMS11F00031, HSCEMS10F00001, HSCEMS09F00038, HSCEMS09F00028, HSCEOP07C00013, HSCEMS08C00008, HSCEMS09F00036",2010-07-28,2015-08-26,"6800 VERSAR CENTER, STE 303",,SPRINGFIELD,VA,VIRGINIA,221514178,08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ZEE TECHNOLOGIES  INC.,167525638.0,"office, supplies",1,9.12 K,9.12 K,0.0,HSCEMS17P00105,2017-09-29,2017-10-28,1890 RAMERIZ DR,,YUBA CITY,CA,CALIFORNIA,959937150,03,5306715800,5306605310,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PRODUCTION AUTOMATION COMPANY,66828476.0,"household, furniture",1,9.12 K,9.12 K,0.0,HSCEMD16P00119,2016-09-23,2016-12-15,6200 BURY DR,,EDEN PRAIRIE,MN,MINNESOTA,553461718,03,9529030333,9529030315,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEMCO  INC.,6552483.0,"miscellaneous, furniture, fixtures",1,9.12 K,9.12 K,0.0,70CMSW18P00000020,2018-03-15,2018-05-11,7282 WILLIAM BARRY BLVD,,NORTH SYRACUSE,NY,NEW YORK,132123347,24,3156348137,8005957265,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
M-PAK  INC.,82894929.0,"specialized, shipping, storage, containers",1,9.08 K,9.08 K,0.0,HSCEMD13F00105,2013-12-04,2013-09-25,"11255 CAMP BOWIE W, STE 108",,ALEDO,TX,TEXAS,760083692,12,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AF&S PRODUCTS & SERVICES  INC.,606936271.0,"miscellaneous, household, commercial, furnishings, appliances",1,8.97 K,8.97 K,0.0,HSCEDM17F00010,2017-12-15,2017-03-15,34 MARICOPA CT,,PALM DESERT,CA,CALIFORNIA,922114201,36,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FLYTECOMM  INC.,946075330.0,"telecom, teleprocessing,, timeshare,, cloud, computing",1,8.96 K,8.96 K,0.0,HSCECR15F00014,2015-07-15,2016-07-14,555 REPUBLIC DR STE 200,,PLANO,TX,TEXAS,750745469,03,6504048100,6504048108,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CARE SUPPLIES LLC,967533683.0,"personal, toiletry, articles",1,8.72 K,8.72 K,0.0,70CDCR18FR0000105,2018-08-17,2018-09-02,67 E CENTRE ST,,NUTLEY,NJ,NEW JERSEY,071103409,11,2126166000,8883495348,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"HALE OUTDOOR PRODUCTS, LLC",809953081.0,"education, training",1,8.71 K,8.71 K,0.0,70CDCR18P00000093,2018-05-21,2018-06-20,1974 62ND ST,,SOMERSET,WI,WISCONSIN,540256926,07,7152473094,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CITY OF HURST,73155822.0,"lease, rental, conference, space, facilities",1,8.70 K,8.70 K,0.0,HSCEMS16P00015,2016-05-03,2016-05-04,1505 PRECINCT LINE RD,,HURST,TX,TEXAS,760543302,24,8177887026,8177887009,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PROGRESSIVE ENVIRONMENTAL SERVICES INC.,829695530.0,"environmental, systems, protection, remediation",1,8.61 K,8.61 K,0.0,HSCEMD17P00032,2017-10-30,2017-05-23,1619 MOYLAN RD,,PANAMA CITY BEACH,FL,FLORIDA,324074073,02,8178471333,8173068086,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PERFECT FIT,557049830.0,"individual, equipment, leather, badges, insignia",4,8.53 K,8.53 K,0.0,"70CMSW18FR0000037, HSCEDM17F00074, HSCEMD12F00094, HSCEMD11F00128",2011-08-29,2018-04-27,39 STETSON RD,,CORINNA,ME,MAINE,049283617,02,2072783333,2072783334,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"TCC BUILDING ""R"" ASSOCIATES  L.P.",178244823.0,"maintenance, office, buildings",1,8.53 K,8.53 K,0.0,70CDCR18P00000171,2018-09-04,2018-10-31,100 CORPORATE PKWY SUITE 500,,AMHERST,NY,NEW YORK,142261260,26,7168345000,7168345034,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RITE-KEM  INC.,786892927.0,"cleaning, polishing, compounds, preparations",1,8.49 K,8.49 K,0.0,HSCEDM17P00079,2018-06-22,2018-07-22,703 WESTMORELAND DR,,TUPELO,MS,MISSISSIPPI,388016521,01,6628406060,4803935843,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MERISTAR PENTAGON CITY  LLC,99430634.0,"lease, rental, conference, space, facilities",1,8.49 K,8.49 K,0.0,HSCEMS16P00030,2016-06-23,2016-07-28,1250 S HAYES ST,,ARLINGTON,VA,VIRGINIA,222025000,08,7034122778,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NATIONAL 9 11 MEMORIAL AND MUSEUM FOUNDATION INC,178480146,"equipment, materials, testing, miscellaneous, education",2,8.45 K,8.45 K,0.0,"70CMSW18P00000067, HSCEMS16P00028",2018-08-31,2018-10-14,200 LIBERTY STREET - 16TH FLOOR,,NEW YORK,NY,NEW YORK,102812103,10,2123128827,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
KARDA SYSTEMS LLC,808474212.0,"individual, equipment, tactical, sets,, kits,",9,8.42 K,8.42 K,0.0,"HSCECR13J00021, HSCECR13J00024, HSCECR14J00016, HSCECR14J00008, HSCEMD16P00063, HSCEMD14P00089, HSCECR13J00010, HSCECR12D00001, HSCEMD11A00003",2012-07-13,2017-07-12,585 LONDON BRIDGE RD,,VIRGINIA BEACH,VA,,234543210,VA02,7573957165,7574980059,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
EVACUSLED INC,201786600.0,"safety, rescue, equipment, miscellaneous, furniture",2,8.39 K,8.39 K,0.0,"HSCEMS17F00008, HSCEMR15F00041",2016-05-06,2017-03-24,29 RANGEMORE RD,,TORONTO,,ON,M8Z5H8,,1866301753,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BURTON ENTERPRISES  L.L.C.,36074040.0,"telecom, telecommunications, transmission",1,8.38 K,16.86 K,8478.960000000001,70CDCR18P00000199,2018-09-28,2019-09-27,2021 SCENIC PARKWAY,,CHESAPEAKE,VA,VIRGINIA,233236729,04,7573128300,7572827701,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PRINTREE LLC,832503622.0,"special, studies, analysis, technology",1,8.36 K,8.36 K,0.0,HSCETC16F00008,2016-05-12,2016-09-12,351 OAK PL STE F,,BREA,CA,CALIFORNIA,928214123,39,3106978877,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ATKINSON-BAKER  INC.,607957693.0,"support, administrative:, court, reporting",2,8.33 K,8.33 K,0.0,"HSCEMR17P00003, HSCEMD15P00014",2016-12-05,2017-01-31,500 N BRAND BLVD 3RD FLR,,GLENDALE,CA,CALIFORNIA,912034725,28,8182453212,8009255910,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
OFFICE SYSTEMS DIVISION  INC.,70128459.0,"cabinets,, lockers,, bins,, shelving",1,8.33 K,8.33 K,0.0,70CDCR18P00000111,2018-07-24,2018-08-23,1615 2ND AVE,,DES MOINES,IA,IOWA,503143607,03,5152441911,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SHORE SOLUTIONS  INC.,968058177.0,"clothing,, special, purpose",1,8.33 K,8.33 K,0.0,70CMSD18P00000012,2018-10-24,2019-10-19,1120 BAY BLVD STE E,,CHULA VISTA,CA,CALIFORNIA,919117169,51,6194342775,6193747034,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL DISPATCH  INC.,34219274.0,"communications, security, equipment, components",2,8.33 K,24.98 K,16656.0,"70CMSD18P00000140, HSCEMD16P00016",2017-07-19,2021-07-31,7350 CONVOY CT,,SAN DIEGO,CA,CALIFORNIA,921111435,52,8582441400,8582441401,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
OPTIM INCORPORATED,52927001.0,"video, recording, reproducing, equipment, optical",2,8.30 K,8.30 K,0.0,"HSCEMD16F00137, HSCEMD11F00048",2011-07-06,2016-10-12,64 TECHNOLOGY PARK RD,,STURBRIDGE,MA,MASSACHUSETTS,015661253,01,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PELICAN PRODUCTS  INC.,82193277.0,"miscellaneous, weapons, tool, hardware, boxes",5,8.22 K,8.22 K,0.0,"70CMSW18FR0000017, HSCEMD16F00074, HSCEMD16F00043, HSCEMD15F00088, HSCEDM11J00037",2016-12-01,2018-03-02,147 N MAIN ST,,SOUTH DEERFIELD,MA,MASSACHUSETTS,013731026,02,8004735422,4136658330,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BANNING CONTRACTING SERVICES INC,79299646.0,"telecom, telecommunications, transmission",1,8.21 K,8.21 K,0.0,70CDCR18P00000129,2018-09-21,2023-08-30,13211 S 65TH EAST PL,,BIXBY,OK,OKLAHOMA,740083846,01,9183944450,9183944453,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
L-3 COMMUNICATIONS HOLDINGS  INC.,008898843,"equipment, maint, repair, rebuild, radiation",6,8.20 K,8.20 K,0.0,"HSCECR17P00003, HSCECR16P00005, HSCEMD10P00294, HSCEMD09P00019, HSCEMS08P00002, HSCEMD10P00024",2012-10-15,2018-03-31,10E COMMERCE WAY,,WOBURN,MA,MASSACHUSETTS,018011044,05,7819701619,7819393949,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
METRO OFFICE SOLUTIONS  INC.,787411917.0,"office, furniture",7,8.09 K,8.09 K,0.0,"HSCEMR17F00005, HSCEMR12F00091, HSCEMD08F00236, HSCEMR11F00035, HSCEMD09P00335, HSCEMD09F00177, HSCEMD08F00233",2011-09-23,2017-02-18,4692 MILLENNIUM DR STE 420,,BELCAMP,MD,MARYLAND,210171299,02,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NEWEGG INC.,545238073.0,"information, technology, support, equipment",1,8.03 K,8.03 K,0.0,HSCETE11P00066,2018-08-15,2011-10-23,16839 GALE AVE,,CITY OF INDUSTRY,CA,CALIFORNIA,917451816,32,6262711420,6262719558,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GREEN 320  LLC,80942123.0,"recreational, gymnastic, equipment",1,8.00 K,44.00 K,36000.0,70CDCR18P00000074,2018-06-01,2023-11-30,12801 US 95 S,,BOULDER CITY,NV,NEVADA,89005,03,7022932108,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CITY OF VINELAND,73739955.0,"housekeeping, guard",1,8.00 K,16.00 K,8000.0,70CDCR18P00000059,2018-08-02,2019-03-26,640 E WOOD ST,,VINELAND,NJ,NEW JERSEY,083603722,02,8567944000,8564054601,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
LEUPOLD & STEVENS  INC.,45776796.0,"armament, training, devices",1,8.00 K,8.00 K,0.0,HSCEMS16P00052,2016-08-19,2016-09-18,14400 NW GREENBRIER PKWY,,BEAVERTON,OR,OREGON,970065791,01,5035265182,5035261475,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEIKOSOFT  LLC,96571862.0,"information, technology, software",1,8.00 K,8.00 K,0.0,70CMSD18P00000032,2018-04-04,2018-05-04,480 W SUNNYSIDE ROAD STE 4,,IDAHO FALLS,ID,IDAHO,834024651,02,2085892860,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
IMAGING SYSTEMS LLC,151045309.0,"office, supplies",1,7.95 K,7.95 K,0.0,HSCEDM16F00022,2016-04-22,2016-05-23,4192 CENTER PARK DR COLORADO SPRINGS,,COLORADO SPRINGS,CO,COLORADO,80916,05,7195730800,7195730899,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANCHORTEX CORPORATION,615503877.0,"personal, toiletry, articles, night, vision",2,7.87 K,7.87 K,0.0,"HSCEDM17P00029, HSCEMD11F00027",2011-05-09,2017-02-24,"420 COMMERCE LANE, SUITES 2-3",,WEST BERLIN,NJ,NEW JERSEY,080913840,01,8567685240,8567685547,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MTM BUSINESS SYSTEMS,825245590.0,"storage, tanks",1,7.80 K,7.80 K,0.0,HSCEMS17P00023,2018-08-31,2017-07-12,1622 EDINGER AVE STE F,,TUSTIN,CA,CALIFORNIA,927806520,45,8006991191,7142584660,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
JNC ENTERPRISES INC,120953534.0,"miscellaneous, weapons",1,7.76 K,7.76 K,0.0,HSCEMS13P00062,2018-08-30,2013-10-18,312 BRENNAN RD,,COLUMBUS,GA,GEORGIA,319032011,02,7066532556,7066532560,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MICRO SYSTEMATION AB (PUBL),355229832,"software, adp, equipment, information, technology",9,7.75 K,7.75 K,0.0,"HSCETE16F00037, HSCETE16P00006, HSCETE15F00066, HSCETE14F00120, HSCETE14F00068, HSCEMD15F00067, HSCETE12P00028, HSCETE11P00043, HSCETE11P00035",2011-08-17,2017-08-31,2001 JEFFERSON DAVIS HWY STE 801,,ARLINGTON,VA,VIRGINIA,222023612,08,7034011695,8883959027,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"BUCKSTAFF PUBLIC SAFETY, INC.",76881627.0,"individual, equipment",4,7.72 K,7.72 K,0.0,"HSCEDM17F00006, HSCEDM16F00042, HSCECR11F00044, HSCECR10F00056",2011-01-24,2017-01-27,431 W 22ND ST,,NORFOLK,VA,VIRGINIA,235172118,03,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DIRECTPACKET  INC,169957904.0,"video, recording, reproducing, equipment",1,7.69 K,7.69 K,0.0,70CMSD18P00000134,2018-08-10,2018-09-10,909 LAKE CAROLYN PKWY,,IRVING,TX,TEXAS,750393908,24,9727140540,9725808435,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INTERACTIVE COMMUNICATIONS SOLUTIONS GROUP  INC.,045006140,"information, technology, software",2,7.65 K,7.65 K,0.0,"70CTD018FR0000012, HSCETE15F00004",2018-02-12,2018-03-11,650 RITCHIE HWY STE 300,,SEVERNA PARK,MD,MARYLAND,211463948,04,4109759440,4109759445,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
U.S. LEGAL SUPPORT  INC.,2688059.0,"support, administrative:, court, reporting",1,7.63 K,7.63 K,0.0,HSCEMR17P00002,2018-05-02,2017-01-30,363 N SAM HOUSTON PKWY E STE 1200,,HOUSTON,TX,TEXAS,770602425,29,8329716753,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL TEXAS TELEPHONE COOPERATIVE  INC.,2826287.0,"support, professional:, communications",1,7.57 K,7.57 K,0.0,HSCETE14P00022,2017-09-30,2015-02-15,3389 KNICKERBOCKER RD,,SAN ANGELO,TX,TEXAS,769046856,11,3259449016,3259499500,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PENN TOOL CO INC,11520277.0,"hosiery,, handwear,, clothing, accessories,, men's",1,7.56 K,7.56 K,0.0,70CDCR18FR0000028,2018-02-13,2018-03-30,1776 SPRINGFIELD AVE,,MAPLEWOOD,NJ,NEW JERSEY,070402931,10,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SINGHAL & CO  INC,137072729.0,"radio, television, communication, equipment,, airborne",2,7.56 K,7.56 K,0.0,"70CMSD18FR0000055, HSCEMD17P00071",2017-08-03,2018-05-13,12500 NATHANIEL OAKS DR,,HERNDON,VA,VIRGINIA,201713320,10,7036524321,7036524322,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
